localidade,serie,nome,id,populacao,latitude,longitude
"{'id': '4107306', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Doutor Camargo - PR'}",{'2021': '5987'},Doutor Camargo - PR,4107306,5987,-23.56118488027197,-52.214812755065815
"{'id': '4107405', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Enéas Marques - PR'}",{'2021': '5906'},Enéas Marques - PR,4107405,5906,-25.90664570283181,-53.15376971796505
"{'id': '4107504', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Engenheiro Beltrão - PR'}",{'2021': '13962'},Engenheiro Beltrão - PR,4107504,13962,-23.759828357674053,-52.26974812016314
"{'id': '4107520', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Esperança Nova - PR'}",{'2021': '1633'},Esperança Nova - PR,4107520,1633,-23.714179256389773,-53.797507186783314
"{'id': '4107538', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Entre Rios do Oeste - PR'}",{'2021': '4651'},Entre Rios do Oeste - PR,4107538,4651,-24.71308831879051,-54.222077807057296
"{'id': '4107546', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Espigão Alto do Iguaçu - PR'}",{'2021': '3980'},Espigão Alto do Iguaçu - PR,4107546,3980,-25.352747337217462,-52.78712323959817
"{'id': '4107553', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Farol - PR'}",{'2021': '2995'},Farol - PR,4107553,2995,-24.12330842330467,-52.628848423926584
"{'id': '4107603', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Faxinal - PR'}",{'2021': '17379'},Faxinal - PR,4107603,17379,-24.003339176449792,-51.28487644326124
"{'id': '4107652', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Fazenda Rio Grande - PR'}",{'2021': '103750'},Fazenda Rio Grande - PR,4107652,103750,-25.676418520345056,-49.29741720162882
"{'id': '4107702', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Fênix - PR'}",{'2021': '4734'},Fênix - PR,4107702,4734,-23.901113852906295,-52.029772185585585
"{'id': '4107736', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Fernandes Pinheiro - PR'}",{'2021': '5561'},Fernandes Pinheiro - PR,4107736,5561,-25.516610055761284,-50.510296373518436
"{'id': '4107751', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Figueira - PR'}",{'2021': '7625'},Figueira - PR,4107751,7625,-23.876180797495323,-50.43029948687068
"{'id': '4107801', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Floraí - PR'}",{'2021': '4883'},Floraí - PR,4107801,4883,-23.332732392768822,-52.34841653043855
"{'id': '4107850', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Flor da Serra do Sul - PR'}",{'2021': '4583'},Flor da Serra do Sul - PR,4107850,4583,-26.237244222060678,-53.293178165071765
"{'id': '4107900', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Floresta - PR'}",{'2021': '6926'},Floresta - PR,4107900,6926,-23.607223961822566,-52.09007553996083
"{'id': '4108007', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Florestópolis - PR'}",{'2021': '10360'},Florestópolis - PR,4108007,10360,-22.89335446078896,-51.40268646568297
"{'id': '4108106', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Flórida - PR'}",{'2021': '2709'},Flórida - PR,4108106,2709,-23.105590183928737,-51.95645381398628
"{'id': '4108205', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Formosa do Oeste - PR'}",{'2021': '6345'},Formosa do Oeste - PR,4108205,6345,-24.292730265766355,-53.33162563168654
"{'id': '4108304', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Foz do Iguaçu - PR'}",{'2021': '257971'},Foz do Iguaçu - PR,4108304,257971,-25.46796830958403,-54.48323923597226
"{'id': '4108320', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Francisco Alves - PR'}",{'2021': '5942'},Francisco Alves - PR,4108320,5942,-24.0948178211584,-53.872326743686436
"{'id': '4108403', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Francisco Beltrão - PR'}",{'2021': '93308'},Francisco Beltrão - PR,4108403,93308,-26.04768914731104,-53.132582233749204
"{'id': '4108452', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Foz do Jordão - PR'}",{'2021': '4466'},Foz do Jordão - PR,4108452,4466,-25.699633889411786,-52.09110073829077
"{'id': '4108502', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'General Carneiro - PR'}",{'2021': '13661'},General Carneiro - PR,4108502,13661,-26.472605737820082,-51.391935381268425
"{'id': '4108551', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Godoy Moreira - PR'}",{'2021': '2850'},Godoy Moreira - PR,4108551,2850,-24.160309186624477,-51.90799447974621
"{'id': '4108601', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Goioerê - PR'}",{'2021': '28734'},Goioerê - PR,4108601,28734,-24.17267074124609,-53.052184647607476
"{'id': '4108650', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Goioxim - PR'}",{'2021': '6997'},Goioxim - PR,4108650,6997,-25.129926407389384,-51.99452035784147
"{'id': '4108700', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Grandes Rios - PR'}",{'2021': '5379'},Grandes Rios - PR,4108700,5379,-24.191008222721578,-51.44748078373583
"{'id': '4108809', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Guaíra - PR'}",{'2021': '33497'},Guaíra - PR,4108809,33497,-24.190571867288565,-54.23119942035854
"{'id': '4108908', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Guairaçá - PR'}",{'2021': '6635'},Guairaçá - PR,4108908,6635,-22.92286484902125,-52.740098680403605
"{'id': '4108957', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Guamiranga - PR'}",{'2021': '8881'},Guamiranga - PR,4108957,8881,-25.17068417669701,-50.83968208770654
"{'id': '4109005', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Guapirama - PR'}",{'2021': '3767'},Guapirama - PR,4109005,3767,-23.46798393859109,-50.076949589867844
"{'id': '4109104', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Guaporema - PR'}",{'2021': '2239'},Guaporema - PR,4109104,2239,-23.32520726596616,-52.82609050381119
"{'id': '4109203', 'nivel': {'id': 'N6', 'nome': 'Município'}, 'nome': 'Guaraci - PR'}",{'2021': '5557'},Guaraci - PR,4109203,5557,-22.95673535721207,-51.678869177373635
